ID,Number_Of_Wins_This_Season,Number_Of_First_Round_Draft_Picks,Average_Player_Age,Number_Of_Injured_Players,Coach_Experience_Level,Won_Championship
6056,13,2,27,5,2,A
9702,14,2,26,5,2,A
1745,13,1,27,4,2,B
4757,12,2,27,6,2,A
7242,15,2,26,5,2,A
8757,14,2,26,5,2,A
3773,15,3,26,5,2,A
6405,14,2,26,5,2,B
6542,16,2,26,4,2,A
5058,13,2,26,5,2,B
3031,14,2,27,5,2,B
7155,12,2,26,5,2,B
2902,15,2,26,4,2,A
1960,15,1,27,3,1,B
3222,15,2,26,4,2,A
8392,14,2,27,7,2,A
16,16,3,25,4,2,A
1651,15,3,26,5,2,A
2211,13,2,27,6,2,A
2350,15,3,26,5,2,A
8244,15,2,26,4,2,A
3133,14,2,26,4,3,B
3862,14,2,26,5,2,A
5302,15,2,25,6,1,A
9143,14,3,27,6,2,B
8786,13,2,27,4,3,B
7061,13,2,27,5,2,A
1789,13,2,27,3,3,B
3355,12,2,27,5,2,B
3802,15,3,26,6,2,A
4348,12,2,27,4,2,B
4807,16,2,26,3,2,A
7019,14,3,26,8,2,B
7414,15,3,27,6,2,B
7334,16,3,25,5,2,A
5444,15,2,27,5,2,B
5965,14,2,27,5,2,B
306,14,2,26,6,2,A
4118,15,2,26,5,2,A
6888,14,3,26,6,2,B
5207,13,3,25,5,3,B
1767,13,3,26,6,2,B
4623,16,3,27,6,2,B
3553,13,2,26,7,1,A
8034,13,2,27,6,2,A
4833,14,2,26,6,2,B
3629,14,2,27,7,2,A
5520,16,3,25,5,2,A
5826,15,3,27,5,2,B
9013,13,3,25,5,3,B
5194,14,2,27,6,2,A
1815,15,2,26,4,2,A
943,15,2,26,5,2,B
4619,15,2,26,6,2,B
9661,14,2,27,7,2,B
8380,14,2,27,5,2,B
2266,13,2,27,6,2,B
2955,14,3,26,7,2,B
1250,13,2,26,6,2,B
70,14,2,27,4,2,B
6268,13,2,26,6,2,B
4794,14,1,27,3,2,A
2531,15,2,26,3,2,B
8801,16,2,26,5,2,B
1166,15,2,25,6,2,A
5821,14,3,27,8,2,B
2612,14,2,26,5,2,A
9987,14,2,26,5,2,B
8567,16,3,27,7,2,B
9029,15,2,26,4,2,A
4413,15,2,26,3,2,A
1929,14,2,27,5,2,A
2650,14,3,26,6,2,A
3954,14,2,26,6,2,A
6778,15,2,26,5,2,B
7630,15,3,26,7,2,B
1053,14,3,26,6,3,B
8817,14,2,26,4,2,B
19,14,2,26,7,2,A
7135,13,1,26,6,1,A
8778,15,2,27,3,2,A
8813,13,2,27,6,3,B
5823,16,2,26,3,2,A
965,13,3,26,5,3,B
8276,15,3,26,4,2,A
925,15,2,27,4,2,B
7244,14,2,27,6,2,B
4301,12,2,26,6,2,B
1062,14,2,26,6,2,A
2482,12,1,27,8,1,A
894,14,2,26,6,2,A
8187,14,1,27,3,1,A
1191,13,3,26,5,3,B
5592,13,2,26,7,2,A
9635,13,2,26,5,2,B
6436,11,1,27,7,1,A
7731,16,2,26,2,2,A
1599,14,3,26,6,3,B
8636,12,2,27,8,2,A
6702,14,2,26,5,2,A
4047,14,2,26,5,2,B
3598,15,2,27,4,2,B
3860,15,3,26,6,2,B
5261,13,2,27,5,2,B
7150,15,2,27,5,2,B
5124,14,2,26,6,2,B
1388,14,2,26,6,1,B
863,16,3,25,6,2,A
183,15,3,26,7,2,B
6276,14,2,27,6,2,B
4482,15,2,25,6,2,B
6959,12,2,26,8,1,A
1433,14,2,26,5,2,A
6901,13,2,27,4,2,B
738,13,2,26,7,2,A
1836,13,2,26,7,2,A
4817,16,3,25,7,2,B
